"label","title","author","year","source","publisher","volume","issue","start_page","end_page","doi","issn","abstract","source_file","articleurl","citationurl","citesurl","fulltexturl","relatedurl","link","title_clean","author_clean","row_number_in_group","matches","language","text","citation","screened_titles","notes"
"ref_3560","problematic social media use in youths cause response inhibition impairment","Gou S.; Yuan R.; Zhang W.; Tang Y.; Zhang W.",2024,"Current Psychology",NA,"43","15","13555","13564","10.1007/s12144-023-05425-z",NA,"Problematic social media use (PSMU, also referred to as social media addiction by some researchers) is considered a potential, behavioral addiction or non-substance addiction similar to Internet Gaming Disorder and requires further study. The purpose of this study was to examine whether problematic social media users have a core characteristic of reduced response inhibition similar to other addictive behaviors, both without and with social media-related stimuli. PSMU (n = 37) and healthy controls (HC, n = 41) participants completed an adapted version of the Problematic Social Media Use Scale (PSMUS), Internet Game Addiction Scale (IGAS), the Go/No Go task, and an adapted version of the Go/No Go task with social media elements. The results showed that in the Go/No Go task, there was no significant difference in the performance of the PSMU group and the HC group in terms of correct accuracy (p > 0.05). However, in the Modified Go/No Go task, the PSMU group performed worse and had a lower correct accuracy with the No-Go stimulus compared to the HC group. In addition, the No-Go correct accuracy in the Modified Go/No Go task was significantly lower for the PSMU group than the No-Go correct accuracy in the Go/No Go task. Finally, there was a negative correlation between PSMUS scores in the PSMU group and performance in the Modified Go/No Go task. Problematic social media users have response inhibition impairments similar to behavioral addictions, especially with social media-related cues. This adds to the existing evidence on the negative consequences of problematic social media use and its mental health risks. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2023.","Scopus",NA,NA,NA,NA,NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176443914&doi=10.1007%2Fs12144-023-05425-z&partnerID=40&md5=e0b36c7e0778a98d4c9a3369b6911cc8","problematic social media use in youths cause response inhibition impairment","gou s.; yuan r.; zhang w.; tang y.; zhang w.",NA,3542,"en","problematic social media use in youths cause response inhibition impairment problematic social media use (psmu, also referred to as social media addiction by some researchers) is considered a potential, behavioral addiction or non-substance addiction similar to internet gaming disorder and requires further study. the purpose of this study was to examine whether problematic social media users have a core characteristic of reduced response inhibition similar to other addictive behaviors, both without and with social media-related stimuli. psmu (n = 37) and healthy controls (hc, n = 41) participants completed an adapted version of the problematic social media use scale (psmus), internet game addiction scale (igas), the go/no go task, and an adapted version of the go/no go task with social media elements. the results showed that in the go/no go task, there was no significant difference in the performance of the psmu group and the hc group in terms of correct accuracy (p > 0.05). however, in the modified go/no go task, the psmu group performed worse and had a lower correct accuracy with the no-go stimulus compared to the hc group. in addition, the no-go correct accuracy in the modified go/no go task was significantly lower for the psmu group than the no-go correct accuracy in the go/no go task. finally, there was a negative correlation between psmus scores in the psmu group and performance in the modified go/no go task. problematic social media users have response inhibition impairments similar to behavioral addictions, especially with social media-related cues. this adds to the existing evidence on the negative consequences of problematic social media use and its mental health risks. © the author(s), under exclusive licence to springer science+business media, llc, part of springer nature 2023.","Problematic Social Media Use in Youths Cause Response Inhibition Impairment.","selected",NA
"ref_4881","the influences of host and ethnic internet use on sociocultural and psychological adaptation among chinese college students in the united states: intercultural communication apprehension and uncertainty reduction as mediators","Hsu, CF; Chen, J",2021,"JOURNAL OF INTERNATIONAL AND INTERCULTURAL COMMUNICATION",NA,"14","1","60","75","10.1080/17513057.2020.1718739","1751-3057; 1751-3065","This study investigated the influences of internet use on cross-cultural adaptation. One hundred and fifty-two Chinese students (N = 152) in the United States completed a battery of questionnaires. Results indicated that host internet use negatively predicted intercultural communication apprehension (ICA) and uncertainty, which in turn positively influenced sociocultural and psychological adaptation. ICA predicted sociocultural adaptation equally as uncertainty, but was a stronger factor explaining psychological adaptation. Ethnic internet use, however, was not related to cross-cultural adaptation. These findings suggest that the host internet helps newcomers adapt to a new culture by reducing their ICA and uncertainty levels.","wos2000.ris",NA,NA,NA,NA,NA,NA,"the influences of host and ethnic internet use on sociocultural and psychological adaptation among chinese college students in the united states: intercultural communication apprehension and uncertainty reduction as mediators","hsu, cf; chen, j",NA,4853,"en","the influences of host and ethnic internet use on sociocultural and psychological adaptation among chinese college students in the united states: intercultural communication apprehension and uncertainty reduction as mediators this study investigated the influences of internet use on cross-cultural adaptation. one hundred and fifty-two chinese students (n = 152) in the united states completed a battery of questionnaires. results indicated that host internet use negatively predicted intercultural communication apprehension (ica) and uncertainty, which in turn positively influenced sociocultural and psychological adaptation. ica predicted sociocultural adaptation equally as uncertainty, but was a stronger factor explaining psychological adaptation. ethnic internet use, however, was not related to cross-cultural adaptation. these findings suggest that the host internet helps newcomers adapt to a new culture by reducing their ica and uncertainty levels.","The Influences of Host and Ethnic Internet Use on Sociocultural and Psychological Adaptation among Chinese College Students in the United States: Intercultural Communication Apprehension and Uncertainty Reduction as Mediators.","selected",NA
"ref_5476","using smartphone gps data to detect the risk of adolescent suicidal thoughts and behaviors","RP Auerbach, PA Bloom, D Pagliaccio, R Lan…",2025,"JAMA Network …","jamanetwork.com",NA,NA,NA,NA,NA,NA,"… Given prior work in depression, 11 -13 we hypothesized that greater homestay as well as reduced entropy and distance traveled on a given week would be associated with next-week …",NA,"https://jamanetwork.com/journals/jamanetworkopen/article-abstract/2829550",NA,"https://scholar.google.com/scholar?cites=16063323018855261816&as_sdt=2005&sciodt=2007&hl=en","https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2829550","https://scholar.google.com/scholar?q=related:eCY5sy1j7N4J:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007",NA,"using smartphone gps data to detect the risk of adolescent suicidal thoughts and behaviors","rp auerbach, pa bloom, d pagliaccio, r lan…",NA,5442,"en","using smartphone gps data to detect the risk of adolescent suicidal thoughts and behaviors … given prior work in depression, 11 -13 we hypothesized that greater homestay as well as reduced entropy and distance traveled on a given week would be associated with next-week …","using Smartphone Gps Data to Detect the Risk of Adolescent Suicidal Thoughts and Behaviors.","selected",NA
"ref_4621","the double-edged impact of internet use on mental health outcomes among filipino university students: the mediating role of online social support","Santos, PMTA; Cleofas, JV; Austria, AGO; de Guzman, AKB; Sarile, BAF",2023,"FRONTIERS IN SOCIOLOGY",NA,"8","","","","10.3389/fsoc.2023.1132523","2297-7775","IntroductionEvidence supports both the positive and negative effects of Internet use on mental health outcomes, but it remains unclear on the role of online social support in this relationship. This study examined the link between daily hours of general Internet use and bidimensional mental health (BMMH) through the pathway of online social support (OSSS). MethodsDrawing from a sample of 247 Filipino university students, this cross-sectional study tested two simple mediation models that considered mental wellbeing and psychological distress as outcome variables. ResultsFindings show that the total effect of Internet use is positive and negative for mental wellbeing and psychological distress, respectively. Online social support mediated the favorable effects of Internet use on BMMH outcomes. However, the introduction of OSSS as a mediator yielded residual direct effects with opposing signs for both models. The resultant inconsistent mediation in the models signifies the double-edged impact of Internet use on mental health, with favorable effects transmitted through online social support. DiscussionFindings highlight the importance of online social support as a pathway to harness the positive effects of Internet on mental health. Recommendations to improve online social support for students are discussed herein.","wos2000.ris",NA,NA,NA,NA,NA,NA,"the double-edged impact of internet use on mental health outcomes among filipino university students: the mediating role of online social support","santos, pmta; cleofas, jv; austria, ago; de guzman, akb; sarile, baf",NA,4593,"en","the double-edged impact of internet use on mental health outcomes among filipino university students: the mediating role of online social support introductionevidence supports both the positive and negative effects of internet use on mental health outcomes, but it remains unclear on the role of online social support in this relationship. this study examined the link between daily hours of general internet use and bidimensional mental health (bmmh) through the pathway of online social support (osss). methodsdrawing from a sample of 247 filipino university students, this cross-sectional study tested two simple mediation models that considered mental wellbeing and psychological distress as outcome variables. resultsfindings show that the total effect of internet use is positive and negative for mental wellbeing and psychological distress, respectively. online social support mediated the favorable effects of internet use on bmmh outcomes. however, the introduction of osss as a mediator yielded residual direct effects with opposing signs for both models. the resultant inconsistent mediation in the models signifies the double-edged impact of internet use on mental health, with favorable effects transmitted through online social support. discussionfindings highlight the importance of online social support as a pathway to harness the positive effects of internet on mental health. recommendations to improve online social support for students are discussed herein.","The Double-Edged Impact of Internet Use on Mental Health Outcomes among Filipino University Students: The Mediating Role of Online Social Support.","selected",NA
"ref_1773","examining the role of sociodemographic and psychosocial constructs in excessive social media use among hispanic college students","Mathis P.; Lerma M.; Sandoval K.; Torres J.; Cooper T.V.",2022,"Journal of Technology in Behavioral Science",NA,"7","2","160","167","10.1007/s41347-021-00231-5",NA,"Excessive social media use is a pervasive issue among young adults in the USA. This poses risk for several deleterious health outcomes considering excessive social media use has been linked to elements supporting addiction criteria: salience, tolerance, withdrawal, conflict, relapse, and mood modification. Given earlier yet limited data on social media use patterns among Hispanic college students, this study aimed to assess sociodemographic and psychological constructs in relation to social media use and addiction. Participants (n = 958; Mage = 20.72 years, SD = 3.62; 74.5% female) were recruited via SONA systems recruitment platform at a Hispanic Serving Institution on the border of the U.S. and Mexico. Participants completed a sociodemographic questionnaire, weekly social media use frequency, the Bergen Social Media Addiction Scale, the Depression, Anxiety, and Stress Scale, and the Rosenberg Self-Esteem Scale. Participants reported using social media an average of 20 h a week (SD = 18.57). Two linear regressions assessed weekly social media use and social media addiction. Weekly social media use was positively associated with anxiety and negatively associated with age and household income. Social media addiction was positively associated with stress and negatively associated with age, smaller household size, and self-esteem. Border region Hispanic college student social media use appears excessive; targets for prevention and intervention of excessive social media use include younger individuals, those of lower socioeconomic status and those from smaller household sizes. Anxiety and stress seem salient psychosocial constructs to include and explore further prospectively. © 2021, The Author(s), under exclusive licence to Springer Nature Switzerland AG.","Scopus",NA,NA,NA,NA,NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139757379&doi=10.1007%2Fs41347-021-00231-5&partnerID=40&md5=68efbb751456a13d3e958d01aa2f4f0d","examining the role of sociodemographic and psychosocial constructs in excessive social media use among hispanic college students","mathis p.; lerma m.; sandoval k.; torres j.; cooper t.v.",NA,1765,"en","examining the role of sociodemographic and psychosocial constructs in excessive social media use among hispanic college students excessive social media use is a pervasive issue among young adults in the usa. this poses risk for several deleterious health outcomes considering excessive social media use has been linked to elements supporting addiction criteria: salience, tolerance, withdrawal, conflict, relapse, and mood modification. given earlier yet limited data on social media use patterns among hispanic college students, this study aimed to assess sociodemographic and psychological constructs in relation to social media use and addiction. participants (n = 958; mage = 20.72 years, sd = 3.62; 74.5% female) were recruited via sona systems recruitment platform at a hispanic serving institution on the border of the u.s. and mexico. participants completed a sociodemographic questionnaire, weekly social media use frequency, the bergen social media addiction scale, the depression, anxiety, and stress scale, and the rosenberg self-esteem scale. participants reported using social media an average of 20 h a week (sd = 18.57). two linear regressions assessed weekly social media use and social media addiction. weekly social media use was positively associated with anxiety and negatively associated with age and household income. social media addiction was positively associated with stress and negatively associated with age, smaller household size, and self-esteem. border region hispanic college student social media use appears excessive; targets for prevention and intervention of excessive social media use include younger individuals, those of lower socioeconomic status and those from smaller household sizes. anxiety and stress seem salient psychosocial constructs to include and explore further prospectively. © 2021, the author(s), under exclusive licence to springer nature switzerland ag.","Examining the Role of Sociodemographic and Psychosocial Constructs in Excessive Social Media Use among Hispanic College Students.","selected",NA
"ref_4921","the mediating and buffering effect of resilience on the relationship between loneliness and social media addiction among adolescent","Yam, FC; Yildirim, O; Köksal, B",2024,"CURRENT PSYCHOLOGY",NA,"43","28","24080","24090","10.1007/s12144-024-06148-5","1046-1310; 1936-4733","Social media addiction has many negative effects on the mental health of adolescents. In addition, adolescence is among the high-risk groups in terms of social media addiction. Loneliness is an important variable in the emergence of social media addiction in adolescents. In addition, loneliness is considered a risk factor for adolescents' psychological resilience. Although there is a significant relationship between psychological resilience and technology addictions, there is no research examining the mediating role of psychological resilience between loneliness and social media addiction in adolescents. This study aimed to examine the mediating role of resilience in the relationship between loneliness and social media addiction in adolescents. The study was conducted with 786 adolescents aged 11 to 18, including 474 girls (60.3%) and 312 (39.7%) boys. The data of the study were collected using the Social Media Addiction Scale, the UCLA-Loneliness Short Form, and the Psychological Resilience Scale. The mediation analysis results showed that psychological resilience had a partial mediator role in the relationship between loneliness and social media addiction. These results obtained in the study provide important evidence for the potential buffering role of psychological resilience in reducing social media addiction in adolescents with high levels of loneliness. An overall evaluation of the results indicates that psychological resilience interventions for adolescents with high levels of loneliness could reduce their social media addiction and affect their mental health positively.","wos3000.ris",NA,NA,NA,NA,NA,NA,"the mediating and buffering effect of resilience on the relationship between loneliness and social media addiction among adolescent","yam, fc; yildirim, o; köksal, b",NA,4893,"en","the mediating and buffering effect of resilience on the relationship between loneliness and social media addiction among adolescent social media addiction has many negative effects on the mental health of adolescents. in addition, adolescence is among the high-risk groups in terms of social media addiction. loneliness is an important variable in the emergence of social media addiction in adolescents. in addition, loneliness is considered a risk factor for adolescents' psychological resilience. although there is a significant relationship between psychological resilience and technology addictions, there is no research examining the mediating role of psychological resilience between loneliness and social media addiction in adolescents. this study aimed to examine the mediating role of resilience in the relationship between loneliness and social media addiction in adolescents. the study was conducted with 786 adolescents aged 11 to 18, including 474 girls (60.3%) and 312 (39.7%) boys. the data of the study were collected using the social media addiction scale, the ucla-loneliness short form, and the psychological resilience scale. the mediation analysis results showed that psychological resilience had a partial mediator role in the relationship between loneliness and social media addiction. these results obtained in the study provide important evidence for the potential buffering role of psychological resilience in reducing social media addiction in adolescents with high levels of loneliness. an overall evaluation of the results indicates that psychological resilience interventions for adolescents with high levels of loneliness could reduce their social media addiction and affect their mental health positively.","The Mediating and Buffering Effect of Resilience on the Relationship Between Loneliness and Social Media Addiction among Adolescent.","selected",NA
"ref_4132","social aspects of problematic smartphone use: development and validation of the pssnus and mental health implications for spanish youth","O Luque-Reca, C Marchena-Giráldez…",2024,"Psychology Research …","Taylor &Francis",NA,NA,NA,NA,"10.2147/PRBM.S466070",NA,"… Addressing the complex pattern of digital behaviors and interactions among youth, this research introduces a novel comprehensive scale, the Problematic Smartphone and Social …",NA,"https://www.tandfonline.com/doi/abs/10.2147/PRBM.S466070",NA,"https://scholar.google.com/scholar?cites=11192361150642766436&as_sdt=2005&sciodt=2007&hl=en","https://www.tandfonline.com/doi/pdf/10.2147/prbm.s466070","https://scholar.google.com/scholar?q=related:ZMLxtSpBU5sJ:scholar.google.com/&scioq=%22digital+device*%22%7Csmartphone*%7C%22mobile+phone*%22%7C%22screen+time%22%7C%22social+media%22%7C%22internet+use%22%7C%22digital+technolog*%22%7C%22online+activity%22+%22mental+health%22%7Cwellbeing%7C%22well+being%22%7Cdepression%7Canxiety%7Cstress%7C%22psychological+distress%22%7C%22mental+disorder*%22+%22young+adult*%22%7Cyouth%7C%22college+student*%22%7C%22university+student*%22%7Cadolescent*&hl=en&as_sdt=2007",NA,"social aspects of problematic smartphone use: development and validation of the pssnus and mental health implications for spanish youth","o luque-reca, c marchena-giráldez…",NA,4108,"en","social aspects of problematic smartphone use: development and validation of the pssnus and mental health implications for spanish youth … addressing the complex pattern of digital behaviors and interactions among youth, this research introduces a novel comprehensive scale, the problematic smartphone and social …","Social Aspects of Problematic Smartphone Use: Development and Validation of the Pssnus and Mental Health Implications for Spanish Youth.","selected",NA
"ref_0137","a guiding framework for needs assessment evaluations to embed digital platforms in partnership with indigenous communities","Bhawra J.; Buchan M.C.; Green B.; Skinner K.; Katapally T.R.",2022,"PLoS ONE",NA,"17","12 December","","","10.1371/journal.pone.0279282",NA,"Introduction In community-based research projects, needs assessments are one of the first steps to identify community priorities. Access-related issues often pose significant barriers to participation in research and evaluation for rural and remote communities, particularly Indigenous communities, which also have a complex relationship with academia due to a history of exploitation. To bridge this gap, work with Indigenous communities requires consistent and meaningful engagement. The prominence of digital devices (i.e., smartphones) offers an unparalleled opportunity for ethical and equitable engagement between researchers and communities across jurisdictions, particularly in remote communities. Methods This paper presents a framework to guide needs assessments which embed digital platforms in partnership with Indigenous communities. Guided by this framework, a qualitative needs assessment was conducted with a subarctic Métis community in Saskatchewan, Canada. This project is governed by an Advisory Council comprised of Knowledge Keepers, Elders, and youth in the community. An environmental scan of relevant programs, three key informant interviews, and two focus groups (n = 4 in each) were conducted to systematically identify community priorities. Results Through discussions with the community, four priorities were identified: (1) the Coronavirus pandemic, (2) climate change impacts on the environment, (3) mental health and wellbeing, and (4) food security and sovereignty. Given the timing of the needs assessment, the community identified the Coronavirus pandemic as a key priority requiring digital initiatives. Conclusion Recommendations for community-based needs assessments to conceptualize and implement digital infrastructure are put forward, with an emphasis on self-governance and data sovereignty. © 2022 Bhawra et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","Scopus",NA,NA,NA,NA,NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144553838&doi=10.1371%2Fjournal.pone.0279282&partnerID=40&md5=d840f4064329d2e60075573d7c69961d","a guiding framework for needs assessment evaluations to embed digital platforms in partnership with indigenous communities","bhawra j.; buchan m.c.; green b.; skinner k.; katapally t.r.",NA,136,"en","a guiding framework for needs assessment evaluations to embed digital platforms in partnership with indigenous communities introduction in community-based research projects, needs assessments are one of the first steps to identify community priorities. access-related issues often pose significant barriers to participation in research and evaluation for rural and remote communities, particularly indigenous communities, which also have a complex relationship with academia due to a history of exploitation. to bridge this gap, work with indigenous communities requires consistent and meaningful engagement. the prominence of digital devices (i.e., smartphones) offers an unparalleled opportunity for ethical and equitable engagement between researchers and communities across jurisdictions, particularly in remote communities. methods this paper presents a framework to guide needs assessments which embed digital platforms in partnership with indigenous communities. guided by this framework, a qualitative needs assessment was conducted with a subarctic métis community in saskatchewan, canada. this project is governed by an advisory council comprised of knowledge keepers, elders, and youth in the community. an environmental scan of relevant programs, three key informant interviews, and two focus groups (n = 4 in each) were conducted to systematically identify community priorities. results through discussions with the community, four priorities were identified: (1) the coronavirus pandemic, (2) climate change impacts on the environment, (3) mental health and wellbeing, and (4) food security and sovereignty. given the timing of the needs assessment, the community identified the coronavirus pandemic as a key priority requiring digital initiatives. conclusion recommendations for community-based needs assessments to conceptualize and implement digital infrastructure are put forward, with an emphasis on self-governance and data sovereignty. © 2022 bhawra et al. this is an open access article distributed under the terms of the creative commons attribution license, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","a Guiding Framework for Needs Assessment Evaluations to Embed Digital Platforms in Partnership with Indigenous Communities.","selected",NA
"ref_2609","las for hasoc-learning approaches for hate speech and offensive content identification","Balouchzahi F.; Shashirekha H.L.",2020,"CEUR Workshop Proceedings",NA,"2826","","145","151",NA,NA,"Anti-social elements in social media take advantage of the anonymity in the cyber world and indulge in vulgar and offensive communications such as bullying, trolling, harassment etc. Many youths experiencing such victimization are reported to have psychological symptoms of anxiety, depression and loneliness. These issues have become a growing concern for society and hence, it is important to identify and remove such behaviors in the society at the earliest. In view of this, this paper describes the learning models proposed by our team MUCS, for identifying hate speech and offensive content. Three architectures based on different learning approaches namely Ensemble of Machine Learning (ML) algorithms, Transfer Learning (TL) and ML-TL - a hybrid combination of the first two approaches are proposed. Our team obtained macro f1-score of 0.4979, 0.2517, 0.5044 and 0.5182 for English Subtask A, Subtask B, German Subtask A and Hindi Subtask A respectively. © 2020 Copyright for this paper by its authors","Scopus",NA,NA,NA,NA,NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102959948&partnerID=40&md5=b22926629083b06a1392e6906e6b02bc","las for hasoc-learning approaches for hate speech and offensive content identification","balouchzahi f.; shashirekha h.l.",NA,2595,"en","las for hasoc-learning approaches for hate speech and offensive content identification anti-social elements in social media take advantage of the anonymity in the cyber world and indulge in vulgar and offensive communications such as bullying, trolling, harassment etc. many youths experiencing such victimization are reported to have psychological symptoms of anxiety, depression and loneliness. these issues have become a growing concern for society and hence, it is important to identify and remove such behaviors in the society at the earliest. in view of this, this paper describes the learning models proposed by our team mucs, for identifying hate speech and offensive content. three architectures based on different learning approaches namely ensemble of machine learning (ml) algorithms, transfer learning (tl) and ml-tl - a hybrid combination of the first two approaches are proposed. our team obtained macro f1-score of 0.4979, 0.2517, 0.5044 and 0.5182 for english subtask a, subtask b, german subtask a and hindi subtask a respectively. © 2020 copyright for this paper by its authors","Las for Hasoc-Learning Approaches for Hate Speech and Offensive Content Identification.","selected",NA
"ref_1098","correlates of homeless youths' stability-seeking behaviors online and in person","Curry, SR; Rhoades, H; Rice, E",2016,"JOURNAL OF THE SOCIETY FOR SOCIAL WORK AND RESEARCH",NA,"7","1","143","176","10.1086/685107","2334-2315; 1948-822X","Objective: This study examines correlates of service seeking and use of the Internet for stability-seeking purposes such as employment, housing, and health needs among homeless youth. The purpose was to (a) analyze previously unexplored youth characteristics and behaviors such as substance use and self-reported reasons for homelessness; (b) understand the relationship between youth characteristics and behaviors and use of the Internet for stability-seeking purposes; and (c) compare Internet resource-seeking between those who used in-person services and those who did not use in-person services in each domain. Method: A nonprobability sample of homeless youth completed a self-administered questionnaire during 2 periods of data collection (N = 642) at drop-in agencies in a large city on the West Coast. Bivariate and multivariate logistic regressions were conducted and the Holm-Bonferroni method was applied to adjust for multiple comparisons. Results: Logistic regressions show service use and use of the Internet for stability-seeking purposes are significantly associated with race, hard drug use, and becoming homeless because of mental health problems. Individuals who use hard drugs are 2 times more likely (OR = 1.82, p < .05) to use health services than those who do not use hard drugs. Youth who indicate they are homeless because of mental illness are 5 times more likely (OR = 5.13, p < .001) to look online for health services than homeless youth who do not give mental illness as a reason for homelessness. Conclusions: Some youth who might otherwise be labeled disconnected could still be searching for stability-seeking resources through the Internet. Implications for practice are discussed.","wos3981.ris",NA,NA,NA,NA,NA,NA,"correlates of homeless youths' stability-seeking behaviors online and in person","curry, sr; rhoades, h; rice, e",NA,1091,"en","correlates of homeless youths' stability-seeking behaviors online and in person objective: this study examines correlates of service seeking and use of the internet for stability-seeking purposes such as employment, housing, and health needs among homeless youth. the purpose was to (a) analyze previously unexplored youth characteristics and behaviors such as substance use and self-reported reasons for homelessness; (b) understand the relationship between youth characteristics and behaviors and use of the internet for stability-seeking purposes; and (c) compare internet resource-seeking between those who used in-person services and those who did not use in-person services in each domain. method: a nonprobability sample of homeless youth completed a self-administered questionnaire during 2 periods of data collection (n = 642) at drop-in agencies in a large city on the west coast. bivariate and multivariate logistic regressions were conducted and the holm-bonferroni method was applied to adjust for multiple comparisons. results: logistic regressions show service use and use of the internet for stability-seeking purposes are significantly associated with race, hard drug use, and becoming homeless because of mental health problems. individuals who use hard drugs are 2 times more likely (or = 1.82, p < .05) to use health services than those who do not use hard drugs. youth who indicate they are homeless because of mental illness are 5 times more likely (or = 5.13, p < .001) to look online for health services than homeless youth who do not give mental illness as a reason for homelessness. conclusions: some youth who might otherwise be labeled disconnected could still be searching for stability-seeking resources through the internet. implications for practice are discussed.","Correlates of Homeless Youths' Stability-Seeking Behaviors Online and in Person.","selected",NA
"ref_4529","the association between self-esteem and dimensions and classes of cross-platform social media use in a sample of emerging adults - evidence from regression and latent class analyses","Tibber, MS; Zhao, JY; Butler, S",2020,"COMPUTERS IN HUMAN BEHAVIOR",NA,"109","","","","10.1016/j.chb.2020.106371","0747-5632; 1873-7692","There is growing interest in the role of social media use in young people's mental health, and self-esteem has been hypothesised as a potential link in this association. However, existing studies have tended to use basic indicators of use in isolation and single-platform data, and further, have not controlled for other key variables. To address these limitations, emerging adults completed online questionnaires on social media engagement and self-esteem. In line with the interpersonal-connection-behaviours framework we explored online behaviours that putatively connect and disconnect users, e.g. meeting new people and engaging in social comparisons, respectively. Data were analysed using two methodologies, facilitating examination of the relationship between self-esteem and individual engagement indicators (regression analysis) as well as patterns of use (Latent Class Analysis). Overall levels of use and upward social comparisons independently predicted variance in self-esteem scores, even after controlling for demographic and socioeconomic covariates. Further, membership to meaningful, empirically-derived classes of social media users was predicted by self-esteem. These findings indicate that the association between social media use, social comparisons and self-esteem is robust, and extends to multi-platform data. We argue that such a move away from studies of single-platform data is critical if findings are to be generalised.","wos3981.ris",NA,NA,NA,NA,NA,NA,"the association between self-esteem and dimensions and classes of cross-platform social media use in a sample of emerging adults - evidence from regression and latent class analyses","tibber, ms; zhao, jy; butler, s",NA,4501,"en","the association between self-esteem and dimensions and classes of cross-platform social media use in a sample of emerging adults - evidence from regression and latent class analyses there is growing interest in the role of social media use in young people's mental health, and self-esteem has been hypothesised as a potential link in this association. however, existing studies have tended to use basic indicators of use in isolation and single-platform data, and further, have not controlled for other key variables. to address these limitations, emerging adults completed online questionnaires on social media engagement and self-esteem. in line with the interpersonal-connection-behaviours framework we explored online behaviours that putatively connect and disconnect users, e.g. meeting new people and engaging in social comparisons, respectively. data were analysed using two methodologies, facilitating examination of the relationship between self-esteem and individual engagement indicators (regression analysis) as well as patterns of use (latent class analysis). overall levels of use and upward social comparisons independently predicted variance in self-esteem scores, even after controlling for demographic and socioeconomic covariates. further, membership to meaningful, empirically-derived classes of social media users was predicted by self-esteem. these findings indicate that the association between social media use, social comparisons and self-esteem is robust, and extends to multi-platform data. we argue that such a move away from studies of single-platform data is critical if findings are to be generalised.","The Association Between Self-Esteem and Dimensions and Classes of Cross-Platform Social Media Use in a Sample of Emerging Adults - Evidence from Regression and Latent Class Analyses.","selected",NA
"ref_2919","mobile phone addiction and interpersonal problems among chinese young adults: the mediating roles of social anxiety and loneliness","Zhao, KB; Liu, Y; Shi, YM; Bi, DD; Zhang, C; Chen, RJ; Jin, Z",2025,"BMC PSYCHOLOGY",NA,"13","1","","","10.1186/s40359-025-02686-0","2050-7283","Mobile phone addiction leads to difficulties that arise in relationships with others; however, the psychological mechanisms that underpin this relationship are not well understood. The present study examined a multiple mediation model with both social anxiety and loneliness as mediators in the relationship between mobile phone addiction and interpersonal problems among young adults. A sample of 758 Chinese college students reported items on the survey, including demographics, the Mobile Phone Addiction Tendency Scale, UCLA Loneliness Scale, Interaction Anxiousness Scale, and Interpersonal Comprehensive Diagnostic Scale. Results showed that mobile phone addiction was positively associated with interpersonal problems. Loneliness and social anxiety served as both independent and sequential mediators in this relationship. Moreover, these two types of mental states play equally important mediating roles. These results suggested that young adults with mobile phone addiction tended to have more interpersonal problems, not only due to their higher loneliness but also their higher social anxiety. In other words, both loneliness and social anxiety were factors that increase the risk of interpersonal problems.","wos1000.ris",NA,NA,NA,NA,NA,NA,"mobile phone addiction and interpersonal problems among chinese young adults: the mediating roles of social anxiety and loneliness","zhao, kb; liu, y; shi, ym; bi, dd; zhang, c; chen, rj; jin, z",NA,2903,"en","mobile phone addiction and interpersonal problems among chinese young adults: the mediating roles of social anxiety and loneliness mobile phone addiction leads to difficulties that arise in relationships with others; however, the psychological mechanisms that underpin this relationship are not well understood. the present study examined a multiple mediation model with both social anxiety and loneliness as mediators in the relationship between mobile phone addiction and interpersonal problems among young adults. a sample of 758 chinese college students reported items on the survey, including demographics, the mobile phone addiction tendency scale, ucla loneliness scale, interaction anxiousness scale, and interpersonal comprehensive diagnostic scale. results showed that mobile phone addiction was positively associated with interpersonal problems. loneliness and social anxiety served as both independent and sequential mediators in this relationship. moreover, these two types of mental states play equally important mediating roles. these results suggested that young adults with mobile phone addiction tended to have more interpersonal problems, not only due to their higher loneliness but also their higher social anxiety. in other words, both loneliness and social anxiety were factors that increase the risk of interpersonal problems.","Mobile Phone Addiction and Interpersonal Problems among Chinese Young Adults: The Mediating Roles of Social Anxiety and Loneliness.","selected",NA
